ts_local,series,ticker,ignored,buy_count,cost_cents,fee_cost_cents,fill_side,is_taker,pnl_cents,contract_cost,percent_gain
2026-04-13T10:00:08.577522-07:00,KXETH15M,KXETH15M-26APR131300-00,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-13T10:00:08.590620-07:00,KXBTC15M,KXBTC15M-26APR131300-00,no,1,97.1,0.9,no,false,2.9000000000000057,97.1,2.986612
2026-04-13T10:15:19.882871-07:00,KXBTC15M,KXBTC15M-26APR131315-15,no,1,97.7,0.3,yes,false,2.299999999999997,97.7,2.354145
2026-04-13T10:15:19.889509-07:00,KXSOL15M,KXSOL15M-26APR131315-15,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-13T10:30:09.877930-07:00,KXETH15M,KXETH15M-26APR131330-30,no,1,98.5,0.5,yes,false,1.5,98.5,1.522843
2026-04-13T10:30:09.888200-07:00,KXBTC15M,KXBTC15M-26APR131330-30,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T10:45:30.722104-07:00,KXXRP15M,KXXRP15M-26APR131345-45,no,1,97.2,0.8,yes,false,2.799999999999997,97.2,2.880658
2026-04-13T10:45:30.736233-07:00,KXBTC15M,KXBTC15M-26APR131345-45,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T11:00:19.918686-07:00,KXSOL15M,KXSOL15M-26APR131400-00,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T11:00:19.922214-07:00,KXETH15M,KXETH15M-26APR131400-00,no,1,99.0,1.0,no,true,1.0,99.0,1.010101
2026-04-13T11:00:19.931606-07:00,KXBTC15M,KXBTC15M-26APR131400-00,no,1,97.2,0.8,no,false,2.799999999999997,97.2,2.880658
2026-04-13T11:30:09.922770-07:00,KXSOL15M,KXSOL15M-26APR131430-30,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T11:30:09.926136-07:00,KXETH15M,KXETH15M-26APR131430-30,no,1,97.39999999999999,0.6,no,true,2.6000000000000085,97.4,2.669405
2026-04-13T11:30:09.938657-07:00,KXBTC15M,KXBTC15M-26APR131430-30,no,1,97.0,1.0,no,true,3.0,97.0,3.092784
2026-04-13T11:45:09.872054-07:00,KXXRP15M,KXXRP15M-26APR131445-45,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T11:45:09.872937-07:00,KXSOL15M,KXSOL15M-26APR131445-45,no,1,99.0,1.0,yes,true,1.0,99.0,1.010101
2026-04-13T11:45:09.883098-07:00,KXBTC15M,KXBTC15M-26APR131445-45,no,1,97.3,0.7,yes,false,2.700000000000003,97.3,2.774923
2026-04-13T12:00:22.171027-07:00,KXXRP15M,KXXRP15M-26APR131500-00,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T12:00:22.172461-07:00,KXSOL15M,KXSOL15M-26APR131500-00,no,1,97.6,0.4,yes,false,2.4000000000000057,97.6,2.459016
2026-04-13T12:00:22.187665-07:00,KXBTC15M,KXBTC15M-26APR131500-00,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T12:15:16.523611-07:00,KXSOL15M,KXSOL15M-26APR131515-15,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T12:15:16.535494-07:00,KXBTC15M,KXBTC15M-26APR131515-15,no,1,95.0,1.0,no,true,5.0,95.0,5.263158
2026-04-13T12:15:16.539571-07:00,KXETH15M,KXETH15M-26APR131515-15,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T12:30:19.918452-07:00,KXSOL15M,KXSOL15M-26APR131530-30,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T12:30:19.919818-07:00,KXETH15M,KXETH15M-26APR131530-30,no,1,98.7,0.3,yes,true,1.2999999999999972,98.7,1.317123
2026-04-13T12:30:19.928345-07:00,KXBTC15M,KXBTC15M-26APR131530-30,no,1,98.1,0.9,yes,true,1.9000000000000057,98.1,1.936799
2026-04-13T12:45:19.873474-07:00,KXETH15M,KXETH15M-26APR131545-45,no,1,97.6,0.4,yes,false,2.4000000000000057,97.6,2.459016
2026-04-13T12:45:19.874628-07:00,KXSOL15M,KXSOL15M-26APR131545-45,no,2,197.8,0.2,yes,false,2.1999999999999886,98.9,1.112235
